"run_id","radio_mobile_link_name","site_a","site_b","frequency_mhz","height_tx_m","height_rx_m","gain_tx_dbi","gain_rx_dbi","tx_power_w","tx_power_dbm","line_loss_tx_db","line_loss_rx_db","distance_km","free_space_loss_db","obstruction_loss_db","forest_loss_db","urban_loss_db","statistical_loss_db","clutter_loss_db","total_path_loss_db","received_signal_dbm","receiver_sensitivity_dbm","fade_margin_db","required_reliability_percent","feasible_fm20","feasible_fm30","notes"
"RP_5825_H05_G10","RP 5825MHz H05 G10","Nyarugenge campus Q3","Remera campus Q3","5825.000","5","5","10.00","10.00","0.1","20.00","1.00","1.00","7.159","124.80","-3.18","0.00","1.00","6.54","","129.16","-91.16","-113.02","21.86","70.000","True","False",""
"RP_5825_H05_G12","RP 5825MHz H05 G12","Nyarugenge campus Q3","Remera campus Q3","5825.000","5","5","12.00","12.00","0.1","20.00","1.00","1.00","7.159","124.80","-3.18","0.00","1.00","6.54","","129.16","-87.16","-113.02","25.86","70.000","True","False",""
"RP_5825_H05_G16","RP 5825MHz H05 G16","Nyarugenge campus Q3","Remera campus Q3","5825.000","5","5","16.00","16.00","0.1","20.00","1.00","1.00","7.159","124.80","-3.18","0.00","1.00","6.54","","129.16","-79.16","-113.02","33.86","70.000","True","True",""
"RP_5825_H05_G19","RP 5825MHz H05 G19","Nyarugenge campus Q3","Remera campus Q3","5825.000","5","5","19.00","19.00","0.1","20.00","1.00","1.00","7.159","124.80","-3.18","0.00","1.00","6.54","","129.16","-73.16","-113.02","39.86","70.000","True","True",""
"RP_5825_H05_G24","RP 5825MHz H05 G24","Nyarugenge campus Q3","Remera campus Q3","5825.000","5","5","24.00","24.00","0.1","20.00","1.00","1.00","7.159","124.80","-3.18","0.00","1.00","6.54","","129.16","-63.16","-113.02","49.86","70.000","True","True",""
"RP_5825_H10_G10","RP 5825MHz H10 G10","Nyarugenge campus Q3","Remera campus Q3","5825.000","10","10","10.00","10.00","0.1","20.00","1.00","1.00","7.159","124.80","-5.87","0.00","0.00","6.54","","125.48","-87.48","-113.02","25.54","70.000","True","False",""
"RP_5825_H10_G12","RP 5825MHz H10 G12","Nyarugenge campus Q3","Remera campus Q3","5825.000","10","10","12.00","12.00","0.1","20.00","1.00","1.00","7.159","124.80","-5.87","0.00","0.00","6.54","","125.48","-83.48","-113.02","29.54","70.000","True","False",""
"RP_5825_H10_G16","RP 5825MHz H10 G16","Nyarugenge campus Q3","Remera campus Q3","5825.000","10","10","16.00","16.00","0.1","20.00","1.00","1.00","7.159","124.80","-5.87","0.00","0.00","6.54","","125.48","-75.48","-113.02","37.54","70.000","True","True",""
"RP_5825_H10_G19","RP 5825MHz H10 G19","Nyarugenge campus Q3","Remera campus Q3","5825.000","10","10","19.00","19.00","0.1","20.00","1.00","1.00","7.159","124.80","-5.87","0.00","0.00","6.54","","125.48","-69.48","-113.02","43.54","70.000","True","True",""
"RP_5825_H10_G24","RP 5825MHz H10 G24","Nyarugenge campus Q3","Remera campus Q3","5825.000","10","10","24.00","24.00","0.1","20.00","1.00","1.00","7.159","124.80","-5.87","0.00","0.00","6.54","","125.48","-59.48","-113.02","53.54","70.000","True","True",""
"RP_5825_H15_G10","RP 5825MHz H15 G10","Nyarugenge campus Q3","Remera campus Q3","5825.000","15","15","10.00","10.00","0.1","20.00","1.00","1.00","7.159","124.80","1.71","0.00","0.00","6.55","","133.06","-95.06","-113.02","17.96","70.000","False","False",""
"RP_5825_H15_G12","RP 5825MHz H15 G12","Nyarugenge campus Q3","Remera campus Q3","5825.000","15","15","12.00","12.00","0.1","20.00","1.00","1.00","7.159","124.80","1.71","0.00","0.00","6.55","","133.06","-91.06","-113.02","21.96","70.000","True","False",""
"RP_5825_H15_G16","RP 5825MHz H15 G16","Nyarugenge campus Q3","Remera campus Q3","5825.000","15","15","16.00","16.00","0.1","20.00","1.00","1.00","7.159","124.80","1.71","0.00","0.00","6.55","","133.06","-83.06","-113.02","29.96","70.000","True","False",""
