run_id,radio_mobile_link_name,site_a,site_b,frequency_mhz,height_tx_m,height_rx_m,gain_tx_dbi,gain_rx_dbi,tx_power_w,tx_power_dbm,line_loss_tx_db,line_loss_rx_db,distance_km,free_space_loss_db,obstruction_loss_db,forest_loss_db,urban_loss_db,statistical_loss_db,clutter_loss_db,total_path_loss_db,received_signal_dbm,receiver_sensitivity_dbm,fade_margin_db,required_reliability_percent,feasible_fm20,feasible_fm30,notes,height,gain,freq,distance,tx_loss,rx_loss,rx_signal_rm,rx_sens,fade_rm,fspl_rm,total_loss_rm,terrain_stat_loss,fspl_model,rx_fspl_only,rx_avg_corr,rx_height_corr,fade_fspl_only,fade_avg_corr,fade_height_corr
RP_5825_H05_G10,RP 5825MHz H05 G10,Nyarugenge campus Q3,Remera campus Q3,5825.000,5,5,10.00,10.00,0.1,20.0,1.00,1.00,7.159,124.80,-3.18,0.00,1.00,6.54,,129.16,-91.16,-113.02,21.86,70.000,True,False,,5.0,10.0,5825.0,7.159,1.0,1.0,-91.16,-113.02,21.86,124.8,129.16,4.359999999999999,124.8429658423178,-86.8429658423178,-95.22296584231779,-91.20296584231778,26.1770341576822,17.797034157682205,21.817034157682215
RP_5825_H05_G12,RP 5825MHz H05 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,5,5,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,-3.18,0.00,1.00,6.54,,129.16,-87.16,-113.02,25.86,70.000,True,False,,5.0,12.0,5825.0,7.159,1.0,1.0,-87.16,-113.02,25.86,124.8,129.16,4.359999999999999,124.8429658423178,-82.8429658423178,-91.22296584231779,-87.20296584231778,30.1770341576822,21.797034157682205,25.817034157682215
RP_5825_H05_G16,RP 5825MHz H05 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,5,5,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,-3.18,0.00,1.00,6.54,,129.16,-79.16,-113.02,33.86,70.000,True,True,,5.0,16.0,5825.0,7.159,1.0,1.0,-79.16,-113.02,33.86,124.8,129.16,4.359999999999999,124.8429658423178,-74.8429658423178,-83.22296584231779,-79.20296584231778,38.1770341576822,29.797034157682205,33.817034157682215
RP_5825_H05_G19,RP 5825MHz H05 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,5,5,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,-3.18,0.00,1.00,6.54,,129.16,-73.16,-113.02,39.86,70.000,True,True,,5.0,19.0,5825.0,7.159,1.0,1.0,-73.16,-113.02,39.86,124.8,129.16,4.359999999999999,124.8429658423178,-68.8429658423178,-77.22296584231779,-73.20296584231778,44.1770341576822,35.797034157682205,39.817034157682215
RP_5825_H05_G24,RP 5825MHz H05 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,5,5,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,-3.18,0.00,1.00,6.54,,129.16,-63.16,-113.02,49.86,70.000,True,True,,5.0,24.0,5825.0,7.159,1.0,1.0,-63.16,-113.02,49.86,124.8,129.16,4.359999999999999,124.8429658423178,-58.842965842317795,-67.22296584231779,-63.20296584231778,54.1770341576822,45.797034157682205,49.817034157682215
RP_5825_H10_G10,RP 5825MHz H10 G10,Nyarugenge campus Q3,Remera campus Q3,5825.000,10,10,10.00,10.00,0.1,20.0,1.00,1.00,7.159,124.80,-5.87,0.00,0.00,6.54,,125.48,-87.48,-113.02,25.54,70.000,True,False,,10.0,10.0,5825.0,7.159,1.0,1.0,-87.48,-113.02,25.54,124.8,125.48,0.6800000000000068,124.8429658423178,-86.8429658423178,-95.22296584231779,-87.5229658423178,26.1770341576822,17.797034157682205,25.497034157682194
RP_5825_H10_G12,RP 5825MHz H10 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,10,10,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,-5.87,0.00,0.00,6.54,,125.48,-83.48,-113.02,29.54,70.000,True,False,,10.0,12.0,5825.0,7.159,1.0,1.0,-83.48,-113.02,29.54,124.8,125.48,0.6800000000000068,124.8429658423178,-82.8429658423178,-91.22296584231779,-83.5229658423178,30.1770341576822,21.797034157682205,29.497034157682194
RP_5825_H10_G16,RP 5825MHz H10 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,10,10,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,-5.87,0.00,0.00,6.54,,125.48,-75.48,-113.02,37.54,70.000,True,True,,10.0,16.0,5825.0,7.159,1.0,1.0,-75.48,-113.02,37.54,124.8,125.48,0.6800000000000068,124.8429658423178,-74.8429658423178,-83.22296584231779,-75.5229658423178,38.1770341576822,29.797034157682205,37.497034157682194
RP_5825_H10_G19,RP 5825MHz H10 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,10,10,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,-5.87,0.00,0.00,6.54,,125.48,-69.48,-113.02,43.54,70.000,True,True,,10.0,19.0,5825.0,7.159,1.0,1.0,-69.48,-113.02,43.54,124.8,125.48,0.6800000000000068,124.8429658423178,-68.8429658423178,-77.22296584231779,-69.5229658423178,44.1770341576822,35.797034157682205,43.497034157682194
RP_5825_H10_G24,RP 5825MHz H10 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,10,10,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,-5.87,0.00,0.00,6.54,,125.48,-59.48,-113.02,53.54,70.000,True,True,,10.0,24.0,5825.0,7.159,1.0,1.0,-59.48,-113.02,53.54,124.8,125.48,0.6800000000000068,124.8429658423178,-58.842965842317795,-67.22296584231779,-59.5229658423178,54.1770341576822,45.797034157682205,53.497034157682194
